,breadscrum,cod_item,cod_item_pai,nome,situacao,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
136,2:197:200,200,197,Agravos,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
137,2:197:200:202,202,200,Agravo de Instrumento,A,S,N,S,N,S,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S
138,2:197:200:203,203,200,Agravo de Instrumento em Recurso Especial,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
139,2:197:200:204,204,200,Agravo de Instrumento em Recurso Extraordinário,A,S,N,S,N,S,N,N,N,S,N,S,N,S,N,S,S,N,N,N,N,N,N,N,N,S,N,N,N
140,2:197:200:206,206,200,Agravo Regimental Cível,A,S,N,N,N,S,N,N,N,S,N,S,S,S,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N
141,2:197:207,207,197,Embargos,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
142,2:197:207:208,208,207,Embargos Infringentes,I,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N
143,2:197:207:210,210,207,Embargos Infringentes na Execução Fiscal,A,N,N,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
144,2:197:211,211,197,Recurso Ordinário Cível,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
145,2:197:212,212,197,Recurso Extraordinário,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N
146,2:197:213,213,197,Recurso Especial,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
147,2:214,214,2,Outros Procedimentos,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N
148,2:214:215,215,214,Incidentes,A,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,N,N,S,S,S,S,S,S,S
149,2:214:215:216,216,215,Incidente De Arguição de Inconstitucionalidade Cível,A,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N
150,2:214:215:218,218,215,Assistência Judiciária,I,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
151,2:214:215:221,221,215,Conflito de competência cível,A,S,N,S,N,S,N,N,N,S,N,S,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,S,S
152,2:214:215:224,224,215,Exceções,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
153,2:214:215:228,228,215,Exibição de Documento ou Coisa Cível,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S
154,2:1106:155:229,229,155,Impugnação ao Cumprimento de Sentença,I,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
155,2:214:215:230,230,215,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples,I,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
156,2:214:215:231,231,215,Impugnação ao Valor da Causa Cível,A,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,S,N,N,N,N,S,S,N,N,N
157,2:214:215:232,232,215,Incidente de Falsidade,I,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,S,N,N,N,N,S,S,N,N,N
158,2:214:215:233,233,215,Incidente de Uniformização de Jurisprudência,I,S,N,N,N,S,N,N,N,S,N,N,N,N,N,S,S,N,N,S,N,N,N,N,N,S,N,N,N
159,2:214:215:234,234,215,Remoção de Inventariante,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
160,2:214:215:236,236,215,Oposição,A,S,N,N,N,N,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N
161,2:214:237,237,214,Atos e expedientes,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N
162,2:214:237:238,238,237,Avocatória,A,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,S,N,N,N
163,2:214:237:239,239,237,Habilitação para Casamento,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
164,2:214:237:240,240,237,Instrução de Rescisória,A,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
165,2:214:237:241,241,237,Petição Cível,A,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,N,N,N,N,N,N,N,S,S,S,S,S
166,2:214:237:242,242,237,Comunicação,A,S,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
167,2:1106:1107:26:62:244,244,62,Reclamação,I,S,N,S,N,S,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S
168,2:214:237:251,251,237,Registro de Casamento Nuncupativo,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
169,1198:256,256,1198,Representação por Excesso de Prazo,A,S,N,N,N,S,N,N,N,S,N,N,N,N,N,S,S,N,S,S,N,S,N,S,N,S,N,S,S
170,2:214:257,257,214,Cartas,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
171,2:214:257:258,258,257,Carta de Ordem Cível,A,S,S,S,S,S,S,N,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,S,S,N
172,2:214:257:261,261,257,Carta Precatória Cível,A,S,S,S,S,S,S,N,S,S,S,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,S,S,N
173,2:214:257:264,264,257,Carta Rogatória Cível,A,N,N,N,S,S,N,N,S,N,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,S,S,S
174,268,268,0,PROCESSO CRIMINAL,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
175,268:269,269,268,Medidas Preparatórias,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
176,268:269:270,270,269,Notícia-Crime,I,S,S,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
177,268:277:271,271,277,Representação Criminal,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
178,268:277:271:272,272,271,Representação Criminal/Notícia de Crime,A,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
179,268:277:271:273,273,271,Pedido de Arquivamento em Representação Criminal,I,S,S,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
180,268:269:274,274,269,Interpelações,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
181,268:269:274:275,275,274,Notificação para Explicações,A,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
182,268:269:274:276,276,274,Notificação para Explicações (Lei de Imprensa),A,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
183,268:277,277,268,Procedimentos Investigatórios,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
184,268:277:278,278,277,Termo Circunstanciado,A,S,S,N,S,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S
185,268:277:279,279,277,Inquérito Policial,A,S,S,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
186,268:277:280,280,277,Auto de Prisão em Flagrante,A,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
187,268:281,281,268,Procedimento Comum,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
188,268:281:282,282,281,Ação Penal de Competência do Júri,A,S,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,S,S,S
189,268:281:283,283,281,Ação Penal - Procedimento Ordinário,A,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
190,268:284,284,268,Processo Especial,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
191,268:284:285,285,284,Processo Especial do Código de Processo Penal,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
192,268:284:285:287,287,285,Crimes de Responsabilidade dos Funcionários Públicos,A,S,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
193,268:284:285:288,288,285,"Crimes de Calúnia, Injúria e Difamação de Competência do Juiz Singular",A,S,S,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
194,268:284:285:289,289,285,Crimes Contra a Propriedade Imaterial,A,S,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
195,268:284:285:290,290,285,Processo Sumário (Detenção),I,S,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
196,268:284:285:291,291,285,Restauração de Autos Criminal,A,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
197,268:284:292,292,284,Processo Especial de Leis Esparsas,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
198,268:284:292:293,293,292,Crimes Ambientais,A,S,S,N,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
199,268:284:292:294,294,292,Crimes Contra a Propriedade Industrial,A,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
200,268:284:292:295,295,292,Crimes Contra a Propriedade Intelectual,A,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
201,268:284:292:297,297,292,Crimes de Imprensa,A,S,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
202,268:284:292:299,299,292,Procedimento do Juizado Especial Criminal - Sumariíssimo,I,N,S,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
203,268:284:292:300,300,292,Procedimento Especial da Lei Antitóxicos,A,S,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
204,268:284:292:302,302,292,Procedimento Especial dos Crimes de Abuso de Autoridade,A,S,S,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
205,268:303,303,268,Medidas Garantidoras,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
206,268:303:304,304,303,Liberdade,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
207,268:303:304:305,305,304,Liberdade Provisória com ou sem fiança,A,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
208,268:303:304:306,306,304,Relaxamento de Prisão,A,S,S,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
209,268:303:307,307,303,Habeas Corpus Criminal,A,S,S,S,S,S,N,N,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S
210,268:308,308,268,Medidas Cautelares,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,S,S,S
211,268:308:309,309,308,Pedido de Busca e Apreensão Criminal,A,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
212,268:308:310,310,308,Pedido de Quebra de Sigilo de Dados e/ou Telefônico,A,S,S,N,S,S,N,N,S,S,S,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
213,268:308:311,311,308,Medidas Investigatórias Sobre Organizações Criminosas,A,S,N,N,S,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
214,268:308:312,312,308,Pedido de Prisão,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
215,268:308:312:313,313,312,Pedido de Prisão Preventiva,A,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
216,268:308:312:314,314,312,Pedido de Prisão Temporária,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
217,268:308:312:315,315,312,Pedido de Prisão/ Liberdade Vigiada para Fins de Expulsão,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
218,268:316,316,268,Questões e Processos Incidentes,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
219,268:316:317,317,316,Exceções,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
220,268:316:317:318,318,317,Exceção de Suspeição,A,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
221,268:316:317:319,319,317,Exceção de Incompetência de Juízo,A,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
222,268:316:317:320,320,317,Exceção de Litispendência,A,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
223,268:316:317:321,321,317,Exceção de Ilegitimidade de Parte,A,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
224,268:316:317:322,322,317,Exceção de Coisa Julgada,A,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
225,268:316:317:323,323,317,Exceção de Impedimento,A,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
226,268:316:317:324,324,317,Exceção da Verdade,A,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
227,268:316:331:325,325,331,Conflito de Jurisdição,A,S,N,S,N,S,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
228,268:316:326,326,316,Restituição de Coisas Apreendidas,A,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
229,268:316:327,327,316,Embargos de Terceiro Criminal,A,S,S,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
230,268:316:328,328,316,Medidas Assecuratórias,A,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
231,268:316:328:329,329,328,Seqüestro,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
232,268:316:328:330,330,328,Arresto / Hipoteca Legal,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
233,268:316:331,331,316,Incidentes,A,S,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,S,S,S
234,268:316:331:332,332,331,Incidente de Falsidade,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
235,268:316:331:333,333,331,Insanidade Mental do Acusado,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
236,268:334,334,268,Cartas,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
237,268:334:335,335,334,Carta de Ordem Criminal,A,S,S,S,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
238,268:334:355,355,334,Carta Precatória Criminal,A,S,S,S,S,S,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S,S,S,S
239,268:334:375,375,334,Carta Rogatória Criminal,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
240,385,385,0,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
241,385:386,386,385,Execução da Pena,A,S,S,N,S,S,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
242,385:406,406,385,Incidentes,I,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
243,385:406:407,407,406,Conversão de Pena,I,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
244,385:406:408,408,406,Excesso ou Desvio,I,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
245,385:406:409,409,406,Anistia,I,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
246,385:406:410,410,406,Indulto,I,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
247,385:406:411,411,406,Comutação de Pena,I,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S,S
248,268:412,412,268,Recursos,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
249,268:412:413,413,412,Agravo de Execução Penal,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S,S,S,S
250,268:412:416,416,412,Apelação em Mandado de Segurança,I,S,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
251,268:412:417,417,412,Apelação Criminal,A,S,N,S,N,S,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S,S,S
252,268:412:418,418,412,Carta Testemunhável,A,S,N,S,S,S,N,N,S,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S
253,268:412:419,419,412,Correição Parcial Criminal,A,S,N,S,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
254,268:412:420,420,412,Embargos de Declaração Criminal,A,S,S,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S,S,S
255,268:412:421,421,412,Embargos Infringentes e de Nulidade,A,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S,S,S
256,268:412:422,422,412,Protesto por Novo Júri,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
257,268:412:424,424,412,Recurso de Medida Cautelar Criminal,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
258,268:412:425,425,412,Recurso de Sentença Criminal,I,N,N,S,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
259,268:412:426,426,412,Recurso em Sentido Estrito,A,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S,S,S
260,268:412:427,427,412,Remessa Necessária Criminal,A,S,N,S,N,S,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S,S,S
261,268:412:428,428,412,Revisão Criminal,I,S,N,S,N,S,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,S,S
262,268:316:331:432,432,331,Desaforamento de Julgamento,A,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,S,S,S
263,268:316:331:433,433,331,Incidente de Uniformização de Jurisprudência,I,S,N,N,N,S,N,N,N,S,N,N,S,S,N,N,N,N,N,S,S,N,N,N,N,S,N,N,N
264,2:1106:1107:436,436,1107,Procedimento do Juizado Especial Cível,A,N,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
265,2:214:215:457,457,215,Pedido de Uniformização de Interpretação de Lei Cível,A,N,N,N,N,N,N,S,N,N,N,S,S,S,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N
266,2:197:460,460,197,Recurso Inominado Cível,A,N,N,S,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
267,547,547,0,JUIZADOS DA INFÂNCIA E DA JUVENTUDE,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
268,2:1106:1107:1067:976,976,1067,Ação Anulatória de Cláusulas Convencionais,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N
269,2:1106:1107:1067:980,980,1067,Ação de Cumprimento,A,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N
270,2:1106:1107:1067:985,985,1067,Ação Trabalhista - Rito Ordinário,A,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N
271,2:1106:1107:1067:986,986,1067,Inquérito para Apuração de Falta Grave,A,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
272,2:1106:1107:1067:987,987,1067,Dissídio Coletivo,A,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N
273,2:1106:1107:1067:988,988,1067,Dissídio Coletivo de Greve,A,S,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N
274,2:158:1068:990,990,1068,Execução de Título Extrajudicial,A,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
275,2:158:1068:991,991,1068,Execução de Termo de Ajuste de Conduta,A,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
276,2:158:1068:992,992,1068,Execução de Termo de Conciliação de CCP,A,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
277,2:158:1068:993,993,1068,Execução de Certidão de Crédito Judicial,A,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
278,2:158:1068:994,994,1068,Execução Provisória em Autos Suplementares,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
279,2:197:1071:1209:1000,1000,1209,Agravo,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N
280,2:197:1071:1209:1001,1001,1209,Agravo de Instrumento em Agravo de Petição,A,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N
281,2:197:1071:1209:1002,1002,1209,Agravo de Instrumento em Recurso de Revista,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N
282,2:197:1071:1209:1003,1003,1209,Agravo de Instrumento em Recurso Ordinário,A,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N
283,2:197:1071:1209:1004,1004,1209,Agravo de Petição,A,N,N,N,N,N,N,N,N,S,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N
284,2:197:1071:1209:1005,1005,1209,Agravo Regimental Trabalhista,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N
285,2:197:1071:1006,1006,1071,Embargos,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N
286,2:197:1071:1007,1007,1071,Embargos Infringentes,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N
287,2:197:1071:1008,1008,1071,Recurso de Revista,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N
288,2:197:1071:1009,1009,1071,Recurso Ordinário Trabalhista,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N
289,5:1013,1013,5,Agravo em Recurso de Habeas Corpus,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
290,5:1015,1015,5,Embargos de Divergência em Recurso de Mandado de Segurança,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
291,5:1016,1016,5,Embargos de Divergência em Agravo Regimental,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
292,5:1017,1017,5,Embargos à Execução em Mandado de Segurança,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
293,5:1018,1018,5,Embargos à Execução em Ação Recisoria,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
294,5:1019,1019,5,Embargos à Execução em Medida Cautelar,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
295,5:1020,1020,5,Execução em Ação Rescisória,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N
