,breadscrum,cod_item,cod_item_pai,nome,situacao,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
32,2:1106:1107:26:50:58,58,50,Interdição,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
33,2:1106:1107:26:50:59,59,50,Organização e Fiscalização de Fundação,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
34,2:1106:1107:26:50:60,60,50,Separação Consensual,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
35,2:1106:1107:26:50:61,61,50,Tutela e Curatela -  Nomeação,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
36,2:1106:1107:26:62,62,26,"Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos",A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
37,2:1106:1107:26:62:63,63,62,Ação Civil Coletiva,A,N,N,N,N,N,N,N,S,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
38,2:1106:1107:26:62:64,64,62,Ação Civil de Improbidade Administrativa,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
39,2:1106:1107:26:62:65,65,62,Ação Civil Pública,A,S,N,N,N,N,N,N,S,S,N,N,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N
40,2:1106:1107:26:62:66,66,62,Ação Popular,A,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
41,2:1106:1107:26:62:69,69,62,Alimentos - Lei Especial Nº 5.478/68,A,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
42,2:1106:1107:26:62:72,72,62,Alteração do Regime de Bens,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
43,2:1106:1107:26:62:74,74,62,Alvará Judicial - Lei 6858/80,A,N,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
44,2:1106:1107:26:62:76,76,62,Apreensão de Embarcações,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
45,2:1106:1107:26:62:77,77,62,Arribadas Forçadas,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
46,2:1106:1107:26:62:79,79,62,Regulação de Avaria Grossa,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
47,2:1106:1107:26:62:80,80,62,Avarias,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
48,2:1106:1107:26:62:81,81,62,Busca e Apreensão em Alienação Fiduciária,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
49,2:1106:1107:26:62:82,82,62,Cancelamento de Naturalização,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
50,2:175:83,83,175,Cautelar Fiscal,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
51,2:1106:1107:26:62:84,84,62,Cobrança de Cédula de Crédito Industrial,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
52,2:1106:1107:26:62:85,85,62,Compromisso Arbitral,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
53,2:1106:1107:26:62:86,86,62,Consignatória de Aluguéis,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
54,2:1106:1107:26:62:87,87,62,Conversão de Separação Judicial em Divórcio,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
55,1198:88,88,1198,Correição Parcial ou Reclamação Correicional,A,S,N,N,S,S,N,N,N,S,N,N,N,N,N,S,S,N,N,N,S,N,S,N,S,S,N,N,N
56,2:1106:1107:26:62:89,89,62,Depósito da Lei 8. 866/94,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
57,2:1106:1107:26:62:90,90,62,Desapropriação,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
58,2:1106:1107:26:62:91,91,62,Desapropriação Imóvel Rural por Interesse Social,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
59,2:1106:1107:26:62:92,92,62,Despejo,A,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
60,2:1106:1107:26:62:93,93,62,Despejo por Falta de Pagamento,A,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
61,2:1106:1107:26:62:94,94,62,Despejo por Falta de Pagamento Cumulado Com Cobrança,A,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
62,2:1106:1107:26:62:95,95,62,Direta de Inconstitucionalidade,A,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
63,2:1106:1107:26:62:96,96,62,Discriminatória,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
64,2:1106:1107:26:62:97,97,62,Dissolução e Liquidação de Sociedade,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
65,2:1106:1107:26:62:98,98,62,Divórcio Consensual,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
66,2:1106:1107:26:62:99,99,62,Divórcio Litigioso,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
67,2:1106:1107:26:62:100,100,62,Dúvida,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
68,2:1106:1107:26:62:107,107,62,Expropriação da Lei 8.257/91,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
69,2:1106:1107:26:62:108,108,62,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
70,2:1106:1107:26:62:110,110,62,Habeas Data,A,S,N,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,S,S,S,S,S,S,S
71,2:1106:1107:26:62:111,111,62,Habilitação de Crédito,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
72,2:1106:1107:26:62:112,112,62,Homologação de Transação Extrajudicial,I,N,S,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
73,2:1106:1107:26:62:113,113,62,Imissão na Posse,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
74,2:1106:1107:26:62:114,114,62,Impugnação de Crédito,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
75,2:1106:1107:26:62:115,115,62,Inquérito Extrajudicial,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
76,2:1106:1107:26:62:118,118,62,Mandado de Injunção,A,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S
77,2:1106:1107:26:62:119,119,62,Mandado de Segurança Coletivo,A,S,N,N,N,N,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,N,N,N,N,N
78,2:1106:1107:26:62:120,120,62,Mandado de Segurança Cível,A,S,N,S,S,S,N,N,S,S,N,S,S,S,S,S,S,N,N,N,N,N,N,N,S,S,S,S,S
79,2:1106:1107:26:62:121,121,62,Naturalização,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
80,2:1106:1107:26:62:122,122,62,Opção de Nacionalidade,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
81,2:1106:1107:26:62:123,123,62,Averiguação de Paternidade,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
82,2:1106:1107:26:62:124,124,62,Pedido de Resposta ou Retificação da Lei de Imprensa,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
83,2:1106:1107:26:62:127,127,62,Protesto Formado a Bordo,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
84,2:1106:1107:26:62:128,128,62,Recuperação Extrajudicial,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
85,2:1106:1107:26:62:129,129,62,Recuperação Judicial,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
86,2:1106:1107:26:62:134,134,62,Registro Torrens,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
87,2:1106:1107:26:62:135,135,62,Relatório Falimentar,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
88,2:1106:1107:26:62:136,136,62,Remição do Imóvel Hipotecado,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
89,2:1106:1107:26:62:137,137,62,Renovatória de Locação,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
90,2:1106:1107:26:62:138,138,62,Restituição de Coisa ou Dinheiro na Falência do Devedor Empresário,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
91,2:1106:1107:26:62:140,140,62,Revisional de Aluguel,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
92,2:1106:1107:26:62:141,141,62,Separação Litigiosa,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
93,2:1106:1107:26:62:142,142,62,Sonegados,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
94,2:1106:1107:26:62:143,143,62,Suprimento de Idade e/ou Consentimento,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
95,2:1106:1107:26:62:144,144,62,Suspensão de Liminar ou Antecipação de Tutela,I,S,N,N,N,S,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,S,N,S,S
96,2:1106:1107:26:62:145,145,62,Suspensão de Execução de Sentença,I,S,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N
97,2:1106:150,150,1106,Procedimento de Liquidação,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
98,2:1106:150:151,151,150,Liquidação por Arbitramento,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
99,2:1106:150:152,152,150,Liquidação de Sentença pelo Procedimento Comum,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
