sigla;dsc_sigla
cpcf2;CpCF2º - Casos Pendentes no 2º Grau Contra a União, Autarquias, Fundações e Empresas Públicas Federais
cpcje;CpCJE - Casos Pendentes nos Juizados Especiais
cpcm1;CpCM1º - Casos Pendentes no 1º Grau Contra os Municípios, Autarquias, Fundações e Empresas Públicas Municipais
cpcm2;CpCM2º - Casos Pendentes no 2º Grau Contra os Municípios, Autarquias, Fundações e Empresas Públicas Municipais
cpcncrim1;CpCNCrim1º - Casos Pendentes de Conhecimento no 1º Grau Não-Criminais
cpcncrimje;CpCNCrimJE - Casos Pendentes de Conhecimento nos Juizados Especiais Não-Criminais
cpcrim;CpCrim - Total de Casos Pendentes Criminais
cpcrim2;CpCrim2º - Casos Pendentes no 2º Grau Criminais
cpcrim3;Casos pendentes criminais nos Tribunais Superiores
cpcrimtr;CpCrimTr - Casos Pendentes nas Turmas Recursais Criminais
cpex1;CpEx1º - Casos Pendentes de Execução no 1º Grau
cpexje;CpExJE - Casos Pendentes de Execução nos Juizados Especiais
cpext1;CpExt1º - Casos Pendentes de Execução de Título Extrajudicial no 1º Grau
cpextfisc1;CpExtFisc1º - Casos Pendentes de Execução Fiscal no 1º grau
cpextje;CpExtJE - Casos Pendentes de Execução de Título Extrajudicial nos Juizados Especiais
cpextncrimje;(CpExtJE + ExeJudPNCrimJE)Total de Casos pendentes Extrajudiciais e de Execuções Judiciais pendentes não Criminais nos Juizados Especiais
cpextnfisc1;CpExtNFisc1º - Casos Pendentes de Execução de Título Extrajudicial no 1º grau, exceto execuções fiscais
cpje;CpJE - Casos Pendentes nos Juizados Especiais
cpncrim;CpNCrim - Total de Casos Pendentes Não-Criminais
cpncrim2;CpNCrim2º - Casos Pendentes no 2º Grau Não-Criminais
cpncrim3;CpNCrim3 - Número de casos pendentes não criminais nos Tribunais Superiores.
cpncrimtr;CpNCrimTR - Casos Pendentes nas Turmas Recursais Não-Criminais
cppe1;CpPE1º - Casos Pendentes no 1º Grau Propostos Pelos Estados, Distrito Federal, Autarquias, Fundações e Empresas Públicas Estaduais ou Distritais
cppe2;CpPE2º - Casos Pendentes no 2º Grau Propostos Pelos Estados, Distrito Federal, Autarquias, Fundações e Empresas Públicas Estaduais ou Distritais
cppf1;CpPF1º - Casos Pendentes no 1º Grau Propostos Pela União, Autarquias, Fundações e Empresas Públicas Federais
cppf2;CpPF2º - Casos Pendentes no 2º Grau Propostos Pela União, Autarquias, Fundações e Empresas Públicas Federais
cppm1;CpPM1º - Casos Pendentes no 1º Grau Propostos Pelos Municípios, Autarquias, Fundações e Empresas Públicas Municipais
cppm2;CpPM2º - Casos Pendentes no 2º Grau Propostos Pelos Municípios, Autarquias, Fundações e Empresas Públicas Municipais
cptr;CpTR - Casos Pendentes na Turma Recursal
cs;Cs - Casos Novos por Servidor
cs1;Cs1º - Casos Novos por Servidor no 1º Grau
cs2;Cs2º - Casos Novos por Servidor no 2º Grau
csje;CsJE - Casos Novos por Servidor nos Juizados Especiais
csstm;CsSTM – Casos Novos por Servidor no STM
cstr;CsTR - Casos Novos por Servidor nas Turmas Recursais
cstru;CsTRU - Casos Novos por Servidor nas Turmas Regionais de Uniformização
dben;DBen - Despesas com Benefícios
dbena;DBenA – Despesas com Benefícios do Pessoal do Quadro Ativo
dbs;DBS - Despesa com Bens e Serviços e de Capital
dct;DCt - Despesa com Custeio
dec2;Dec2º - Total de Decisões que põem fim à relação processual no 2º Grau
dec3;Dec3 - Total de Decisões que põem fim à relação processual
deccrim2;DecCrim2º - Decisões que põem fim à relação processual no processo criminal no 2º Grau
deccrim3;Total de decisões criminais nos Tribunais Superiores
deccrimtr;DecCrimTR - Decisões que põem fim à relação processual no processo criminal nas Turmas Recursais
decncrim2;DecNCrim2º - Decisões que põem fim à relação processual no processo não-criminal no 2º Grau
decncrim3;DecNCrim3 - Número de decisões não criminais nos Tribunais Superiores.
decncrimtr;DecNCrimTR - Decisões que põem fim à relação processual no processo não-criminal nas Turmas Recursais
dectr;DecTR - Total de Decisões que põem fim à relação processual na Turma Recursal
deimpje;DeImpJE - Decisões nos Juizados Especiais Passíveis de Impugnação
dem;Dem - Demandantes
denc;DEnc - Despesas com Encargos
depjud;DepJud - Saldo de Depósitos Judiciais
derext1;DeRExt1º - Decisões no 1º Grau Passíveis de Recurso Externo
derextje;DeRExtJE - Decisões nos Juizados Especiais Passíveis de Recurso Externo
derint2;DeRInt2º - Decisões Passíveis de Recurso Interno no 2º Grau
derinttr;DeRIntTR - Decisões nas Turmas Recursais Passíveis de Recurso Interno
dest;DEst - Despesas com Estagiários
dinf1;DInf1 - Despesa com Aquisições em Tecnologia de Informação e Comunicação da Justiça
dinf2;DInf2 - Despesa com Custeio da Tecnologia de Informação e Comunicação da Justiça
dinf3;DInf3 - Despesa com Contratos da Tecnologia de Informação e Comunicação da Justiça
dip;Dip - Outras Despesas Indenizatórias e Indiretas com Recursos Humanos
dk;Dk - Despesa com Capital
dm;Dm² – Área Útil em relação à Área Total (em metros quadrados)
dpcn;DpCn - Despesas por Casos Novos.
dpe;DPE - Despesa com Pessoal e Encargos
dpea;DPEA - Despesa com Pessoal e Encargos do Quadro Ativo
dpei;DPeI - Despesa com Pessoal do Quadro Inativo
dpj;Dpj - Despesa Total da Justiça
dpjio;Despesa total (Exceto gastos com inativos e obras)
dpmag;DpMag - Despesas por Magistrado.
drem;DRem - Despesas com Remuneração, Proventos e Pensão
drh;DRH - Despesa com Recursos Humanos
dsc_tribunal;Descrição do Tribunal
dter;DTer - Despesas com Terceirizados
eff;IPC-Jus
eff1;IPC-Jus 1º grau
eff2;IPC-Jus 2º grau
el;Número de eleitores
eo1;EO1 – Execução Orçamentária das Despesas com Pessoal e Encargos
eo2;EO2 – Execução Orçamentária das Despesas de Capital
eo3;EO3 – Execução Orçamentária de Outras Despesas Correntes
exejud1;ExeJud1º - Casos Novos de Execução Judicial no 1º Grau
exejudcrimnpl1;ExeJudCrimNPL1º - Execuções de Penas Não-Privativas de Liberdade no 1º Grau
exejudcrimnplje;ExeJudCrimNPLJE - Execuções de Penas Não-Privativas de Liberdade nos Juizados Especiais
exejudcrimpl1;ExeJudCrimPL1º - Execuções de Penas Privativas de Liberdade no 1º Grau
exejudje;ExeJudJE - Casos Novos de Execução Judicial nos Juizados Especiais
exejudncrim1;ExeJudNCrim1º - Execuções Judiciais no 1º Grau, exceto execuções penais
exejudncrimje;ExeJudNCrimJE - Execuções Judiciais nos Juizados Especiais, exceto execuções penais
exejudp1;ExeJudP1º - Casos Pendentes de Execução Judicial no 1º Grau
exejudpcrimnpl1;ExeJudPCrimNPL1º - Execuções Pendentes de Penas Não-Privativas de Liberdade no 1º Grau
exejudpcrimnplje;ExeJudPCrimNPLJE - Execuções Pendentes de Penas Não-Privativas de Liberdade nos Juizados Especiais
exejudpcrimpl1;ExeJudPCrimPL1º - Execuções Pendentes de Penas Privativas de Liberdade no 1º Grau
exejudpje;ExeJudPJE - Casos Pendentes de Execução de Título Judicial nos Juizados Especiais
exejudpncrim1;ExeJudPNcrim1º - Execuções Judiciais Pendentes no 1º Grau, exceto execuções penais
exejudpncrimje;ExeJudPNCrimJE - Execuções Judiciais Pendentes nos Juizados Especiais, exceto execuções penais
exesusfisc1;ExeSuSFisc1º - Execuções Fiscais Sobrestadas ou Suspensas ou em Arquivo Provisório
exesusje;ExeSuSJE - Execuções Sobrestadas ou Suspensas ou em Arquivo Provisório
exesusnfisc1;ExeSuSNfisc1º - Execuções Sobrestadas ou Suspensas ou em Arquivo Provisório, exceto execuções fiscais e penais
f1;F1 - Cargos de Magistrado Existentes por 100.000 habitantes
f2;F2 - Magistrados por 100.000 habitantes
f3;F3 - Força de Trabalho por 100.000 habitantes
f4a;F4a - Servidores do Quadro Efetivo por 100.000 habitantes
f4b;F4b - Força de Trabalho Auxiliar por 100.000 habitantes
f4c;F4c - Cargos Efetivos Existentes por 100.000 habitantes
f4d;F4d - Cargos em Comissão e Funções Comissionadas Existentes em relação aos Cargos Efetivos Existentes
f4e;F4e - Total de Pessoal Requisitado Extraordinariamente em Relação ao Total de Servidores do Tribunal.
f5;F5 – Força de Trabalho da Área de Tecnologia da Informação em relação ao total de servidores
f6;F6 – Força de Trabalho das Escolas Judiciais em relação ao total de servidores
fc;FC – Funções de Confiança Existentes
ftt;FTT - Força de Trabalho Total de Servidores e Magistrados
g1;G1 - Despesa Total da Justiça em relação ao PIB
g10a;G10a – Despesa média por Magistrado
g10b;G10b – Despesa média por Servidor
g10c;G10c – Despesa média por Terceirizado
g10d;G10d – Despesa média por Estagiário
g11;G11 - Despesas com Serviço Extraordinário de Terceirizados em Relação à Despesa Total do Pleito Eleitoral
g12;G12 - Despesas com Atualização e Manutenção do Sistema de Votação e Apuração em relação à Despesa Total
g13;G13 – Despesas com Serviço Extraordinário de Servidores em Relação à Despesa Total do Pleito Eleitoral
g14;G14 – Despesas com Serviço Extraordinário de Terceirizados em Relação à Despesa Total do Pleito Eleitoral
g15;G15 – Despesas com Atualização e Manutenção do Sistema de Votação e Apuração em relação à Despesa Total do Tribunal
g2;G2 - Despesa Total da Justiça em relação à Despesa Pública
g3;G3 - Despesa com Recursos Humanos em relação à Despesa Total da Justiça
g4;G4 - Despesa com Bens e Serviços e de Capital em relação à Despesa Total da Justiça
g5;G5 - Despesa com Pessoal e Encargos do Quadro Permanente em relação à Despesa Total da Justiça
g5a;G5a - Despesa com Pessoal Ativo e Encargos em relação à Despesa Total da Justiça
g5b;G5b - Despesa com Pessoal Inativo e Instituidores de Pensão em relação à Despesa Total da Justiça
g6;G6 - Despesa com Custeio e Capital em relação à Despesa Total da Justiça
g7;G7 - Despesa Total da Justiça por Habitante (R$)
g8;G8 - Despesas com Pleitos Eleitorais em relação à Despesa Total
g9;G9 - Despesas com Pleitos Eleitorais por Eleitor(R$)
gt;GT - Gastos Totais
h1;h1 - Número de Habitantes
h2;h2 - Número de Habitantes dividido por 100.000
i;i - Arrecadações sobre a despesa total da Justiça
